Rk,Player,Nation,Pos,Squad,90s,Cmp,ShortCmp,MedCmp,LongCmp,xAG,xA,KP,1/3P,PPA,CrsPA,SCA,PrgP,SuccTkon,PrgC,1/3C,CPA,PrgR,TcklW,Int
254,Adam Lallana,eng ENG,MF,Southampton,4,55.3,36.8,15.3,1,0.23,0.13,1,5.25,2.25,0.75,2.24,6,1.25,1.5,2,0,2.5,1.25,1.25
255,Roméo Lavia,be BEL,MF,Chelsea,8.9,43.7,20.1,20.7,2.36,0.08,0.04,0.79,5.51,0.34,0,1.58,3.48,1.12,0.34,1.01,0,0.79,1.46,1.8
256,Sean Longstaff,eng ENG,MF,Newcastle Utd,8.9,33.1,18.1,12.5,1.69,0.02,0.02,0.45,2.92,0.11,0,1.58,4.49,0.22,0.45,1.12,0.22,2.47,1.8,0.79
257,Saša Lukić,rs SRB,MF,Fulham,26,42.3,20,18.3,3.5,0.1,0.05,1,4,0.65,0.27,2.11,3.77,0.31,1.5,1.54,0.15,1.27,1.5,1.08
258,Massimo Luongo,au AUS,MF,Ipswich Town,2.2,22.7,13.6,6.82,1.36,0,0,0,0.45,0,0,0,2.73,0,0,0,0,0.45,2.73,0.91
259,Alexis Mac Allister,ar ARG,MF,Liverpool,28.9,44,22.8,17.1,3.08,0.16,0.19,1.56,4.22,1.21,0.07,4.15,6.12,0.55,1.25,1.49,0.17,2.77,2.01,0.76
260,James Maddison,eng ENG,MF,Tottenham,20.1,50.8,23.9,21.1,3.73,0.21,0.29,2.04,6.12,1.59,0.25,4.73,8.16,1.64,2.24,1.94,1,4.73,0.95,0.6
261,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18.3,39.5,24.7,10.5,1.69,0.09,0.1,0.77,2.73,0.66,0.05,1.85,3.55,1.26,1.2,0.93,0.55,2.57,1.58,1.04
262,Mateus Mane,,MF,Wolves,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Orel Mangala,be BEL,MF,Everton,14,31.2,15.6,13.4,1.64,0.04,0.04,0.57,3.57,0.57,0.07,1.72,2.43,1,0.43,0.43,0.21,1.36,0.57,1.5
264,Pape Matar Sarr,sn SEN,MF,Tottenham,21.3,41.7,21.6,16.2,2.16,0.08,0.04,0.7,3.99,0.56,0.09,2.12,4.13,0.52,1.55,1.74,0.23,2.49,1.69,1.41
265,Scott McTominay,sct SCO,MF,Manchester Utd,0.2,50,25,15,10,0,0,0,10,0,0,4.74,5,0,0,0,0,10,0,0
266,Shumaira Mheuka,eng ENG,MF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Lewis Miley,eng ENG,MF,Newcastle Utd,3.5,48,26.9,16.9,2,0,0.09,0.29,3.14,1.14,0,1.15,4.86,0.29,0.57,0.57,0,2.29,3.14,0.57
268,James Milner,eng ENG,MF,Brighton,1.9,28.9,13.7,12.1,2.11,0.11,0.11,2.11,1.58,0.53,0.53,4.24,5.26,0.53,0.53,0.53,0,5.26,1.05,1.05
269,Jakub Moder,pl POL,MF,Brighton,0.1,180,100,80,0,2,5,30,0,10,10,32.73,40,0,20,30,0,0,0,0
270,Sam Morsy,eg EGY,MF,Ipswich Town,30.6,40.8,20.8,16.4,2.58,0.04,0.05,0.78,4.87,0.56,0.13,1.67,3.92,0.56,0.72,0.78,0.1,0.42,1.34,0.95
271,Mason Mount,eng ENG,MF,Manchester Utd,6.9,30,17.4,8.41,1.88,0.09,0.09,1.16,2.75,1.16,0.29,3.18,4.78,0.14,2.17,1.59,0.29,5.94,0.72,0.58
272,Wilfred Ndidi,ng NGA,MF,Leicester City,25.8,32.5,17.9,10.9,1.51,0.07,0.06,0.66,2.64,0.43,0.12,1.2,2.71,0.5,0.7,0.89,0.08,2.91,1.98,1.2
273,Christian Nørgaard,dk DEN,MF,Brentford,31.3,37.2,18.7,15.4,2.52,0.04,0.04,0.58,4.38,0.86,0.13,1.85,4.92,0.22,0.45,0.51,0.13,1.34,1.57,1.57
274,Matt O'Riley,dk DEN,MF,Brighton,10.4,30.4,15.5,10.4,2.88,0.23,0.19,2.02,2.88,0.77,0.1,3.84,3.65,0.77,2.12,1.15,0.77,5,0.87,1.25
275,Amadou Onana,be BEL,MF,Aston Villa,18,39.1,20.3,16.1,1.89,0.04,0.04,0.56,3.83,0.67,0.11,1.78,4.17,0.78,1.61,1.39,0.06,0.89,1.67,1.44
276,Frank Onyeka,ng NGA,MF,Brentford,0.3,20,16.7,3.33,0,0,0,0,0,3.33,0,0,3.33,0,0,0,0,0,0,0
277,Lewis Orford,eng ENG,MF,West Ham,0.5,66,22,36,4,0,0,4,4,2,2,3.67,0,0,0,0,0,2,0,2
278,Andreas Pereira,br BRA,MF,Fulham,22.4,29.9,13.8,11.5,3.97,0.21,0.21,2.54,2.99,0.85,0.18,4.65,4.64,0.63,1.29,1.7,0.4,3.62,0.58,0.36
279,Kalvin Phillips,eng ENG,MF,Ipswich Town,13.7,31.8,11.8,15.2,4.38,0.01,0.04,0.36,3.58,0.44,0.07,1.24,3.72,0.36,0.29,0.36,0,0.29,1.39,1.39
280,Harrison Reed,eng ENG,MF,Fulham,1.2,32.5,17.5,10.8,1.67,0.08,0.08,0.83,0.83,0.83,0,0.89,3.33,0,0.83,0.83,0,5.83,2.5,0.83
281,Declan Rice,eng ENG,MF,Arsenal,31.4,43.8,21.6,17.6,3.73,0.21,0.18,1.88,4.36,1.11,0.16,3.54,6.11,0.45,2.87,1.85,0.51,2.99,0.8,0.8
